keywords,bid,views,clicks,conversions,total costs
art sketchbook,15,2583,252.0,18.0,3780.0
academic planner notebook,26,3608,306.0,27.0,7956.0
softcover notebook,19,4892,406.0,43.0,7714.0
dotted grid notebook,21,3487,254.0,37.0,5334.0
personalized notebook,22,2575,416.0,52.0,9152.0
personalized notebook,22,4946,798.0,101.0,17556.0
graph paper notebook,21,3839,397.0,47.0,8337.0
college ruled notebook,23,2761,407.0,31.0,9361.0
vintage notebook,17,2991,194.0,12.0,3298.0
large notebook,15,4179,401.0,29.0,6015.0
softcover notebook,19,2268,188.0,20.0,3572.0
art sketchbook,15,4326,422.0,30.0,6330.0
softcover notebook,19,3080,256.0,27.0,4864.0
vintage notebook,17,2046,133.0,8.0,2261.0
spiral bound notebook,22,3892,674.0,39.0,14828.0
notebook with pen holder,25,3613,347.0,48.0,8675.0
academic planner notebook,26,4892,415.0,37.0,10790.0
academic planner notebook,26,1048,89.0,8.0,2314.0
notebook with pockets,22,1461,285.0,20.0,6270.0
notebook with pockets,22,3637,709.0,50.0,15598.0
leather cover notebook,23,1335,83.0,8.0,1909.0
graph paper notebook,21,2381,246.0,29.0,5166.0
college ruled notebook,23,2145,316.0,24.0,7268.0
academic planner notebook,26,4515,383.0,34.0,9958.0
waterproof notebook,20,1358,252.0,20.0,5040.0
spiral bound notebook,22,4673,810.0,47.0,17820.0
vintage notebook,17,3393,220.0,14.0,3740.0
notebook with pen holder,25,1192,114.0,16.0,2850.0
academic planner notebook,26,2439,207.0,18.0,5382.0
graph paper notebook,21,2400,248.0,30.0,5208.0
graph paper notebook,21,4534,469.0,56.0,9849.0
large notebook,15,1755,168.0,12.0,2520.0
large notebook,15,2684,257.0,18.0,3855.0
academic planner notebook,26,4217,357.0,32.0,9282.0
plain paper,12,3525,386.0,44.0,4632.0
softcover notebook,19,1827,152.0,16.0,2888.0
graph paper notebook,21,1889,195.0,23.0,4095.0
notebook with pen holder,25,1652,159.0,22.0,3975.0
notebook with pen holder,25,3455,332.0,46.0,8300.0
graph paper notebook,21,3333,345.0,41.0,7245.0
waterproof notebook,20,2921,542.0,44.0,10840.0
large notebook,15,1850,177.0,13.0,2655.0
recycled paper notebook,24,1110,146.0,11.0,3504.0
large notebook,15,1619,155.0,11.0,2325.0
personalized notebook,22,4950,799.0,101.0,17578.0
notebook with pockets,22,1792,349.0,24.0,7678.0
leather cover notebook,23,3097,192.0,19.0,4416.0
engineering notebook,21,4085,468.0,27.0,9828.0
dotted grid notebook,21,2157,157.0,23.0,3297.0
engineering notebook,21,1587,182.0,11.0,3822.0
vintage notebook,17,3643,237.0,15.0,4029.0
spiral bound notebook,22,4414,765.0,44.0,16830.0
academic planner notebook,26,3717,315.0,28.0,8190.0
academic planner notebook,26,2309,196.0,17.0,5096.0
recycled paper notebook,24,2957,388.0,30.0,9312.0
art sketchbook,15,3361,328.0,23.0,4920.0
notebook with pockets,22,3653,712.0,50.0,15664.0
engineering notebook,21,1296,149.0,9.0,3129.0
engineering notebook,21,2629,301.0,18.0,6321.0
academic planner notebook,26,1568,133.0,12.0,3458.0
notebook with pockets,22,2187,426.0,30.0,9372.0
spiral bound notebook,22,1831,317.0,18.0,6974.0
kids notebook,14,4568,572.0,29.0,8008.0
kids notebook,14,1609,201.0,10.0,2814.0
hardcover notebook,19,1015,106.0,14.0,2014.0
academic planner notebook,26,4415,374.0,33.0,9724.0
notebook with pockets,22,4149,809.0,57.0,17798.0
notebook with pen holder,25,2369,227.0,31.0,5675.0
art sketchbook,15,1071,104.0,7.0,1560.0
academic planner notebook,26,1269,108.0,10.0,2808.0
waterproof notebook,20,1286,239.0,19.0,4780.0
notebook with pen holder,25,1065,102.0,14.0,2550.0
notebook with pen holder,25,1879,180.0,25.0,4500.0
hardcover notebook,19,1067,112.0,15.0,2128.0
academic planner notebook,26,2216,188.0,17.0,4888.0
vintage notebook,17,4126,268.0,17.0,4556.0
leather cover notebook,23,4027,250.0,25.0,5750.0
notebook with pockets,22,2402,468.0,33.0,10296.0
softcover notebook,19,1973,164.0,18.0,3116.0
plain paper,12,4239,464.0,53.0,5568.0
art sketchbook,15,4480,437.0,31.0,6555.0
notebook with pockets,22,1507,294.0,21.0,6468.0
vintage notebook,17,4608,299.0,18.0,5083.0
academic planner notebook,26,4714,400.0,36.0,10400.0
art sketchbook,15,3884,379.0,27.0,5685.0
waterproof notebook,20,2125,395.0,32.0,7900.0
art sketchbook,15,1885,184.0,13.0,2760.0
academic planner notebook,26,3841,326.0,29.0,8476.0
travelers notebook,19,4879,670.0,50.0,12730.0
softcover notebook,19,4877,405.0,43.0,7695.0
notebook with pockets,22,3469,676.0,47.0,14872.0
notebook with pen holder,25,2987,287.0,39.0,7175.0
college ruled notebook,23,1774,262.0,20.0,6026.0
engineering notebook,21,3525,404.0,24.0,8484.0
hardcover notebook,19,1925,202.0,27.0,3838.0
dotted grid notebook,21,1119,82.0,12.0,1722.0
engineering notebook,21,2938,337.0,20.0,7077.0
recycled paper notebook,24,4814,632.0,49.0,15168.0
personalized notebook,22,4362,704.0,89.0,15488.0
engineering notebook,21,1487,170.0,10.0,3570.0
kids notebook,14,4232,530.0,27.0,7420.0
engineering notebook,21,4744,544.0,32.0,11424.0
dotted grid notebook,21,3125,228.0,33.0,4788.0
hardcover notebook,19,4109,431.0,58.0,8189.0
kids notebook,14,4465,559.0,28.0,7826.0
personalized notebook,22,1440,232.0,29.0,5104.0
large notebook,15,4611,442.0,32.0,6630.0
travelers notebook,19,1461,201.0,15.0,3819.0
plain paper,12,1611,176.0,20.0,2112.0
softcover notebook,19,2317,192.0,21.0,3648.0
dotted grid notebook,21,4471,326.0,47.0,6846.0
hardcover notebook,19,2659,279.0,38.0,5301.0
personalized notebook,22,1916,309.0,39.0,6798.0
kids notebook,14,4163,521.0,26.0,7294.0
academic planner notebook,26,4838,410.0,36.0,10660.0
waterproof notebook,20,3656,679.0,55.0,13580.0
notebook with pen holder,25,1005,96.0,13.0,2400.0
notebook with pen holder,25,1680,161.0,22.0,4025.0
personalized notebook,22,3942,636.0,80.0,13992.0
kids notebook,14,3318,415.0,21.0,5810.0
travelers notebook,19,2643,363.0,27.0,6897.0
notebook with pen holder,25,4970,477.0,65.0,11925.0
recycled paper notebook,24,3858,506.0,39.0,12144.0
college ruled notebook,23,3606,532.0,40.0,12236.0
travelers notebook,19,1098,151.0,11.0,2869.0
vintage notebook,17,1525,99.0,6.0,1683.0
travelers notebook,19,3241,445.0,33.0,8455.0
notebook with pockets,22,2180,425.0,30.0,9350.0
kids notebook,14,4971,622.0,31.0,8708.0
notebook with pen holder,25,2689,258.0,35.0,6450.0
graph paper notebook,21,2138,221.0,26.0,4641.0
art sketchbook,15,1395,136.0,10.0,2040.0
graph paper notebook,21,1769,183.0,22.0,3843.0
leather cover notebook,23,4728,294.0,29.0,6762.0
academic planner notebook,26,2826,240.0,21.0,6240.0
college ruled notebook,23,4071,601.0,45.0,13823.0
notebook with pen holder,25,2545,244.0,33.0,6100.0
dotted grid notebook,21,3927,287.0,41.0,6027.0
notebook with pockets,22,4285,835.0,58.0,18370.0
large notebook,15,3792,363.0,26.0,5445.0
college ruled notebook,23,1682,248.0,19.0,5704.0
travelers notebook,19,2556,351.0,26.0,6669.0
notebook with pockets,22,1014,198.0,14.0,4356.0
college ruled notebook,23,4490,662.0,50.0,15226.0
plain paper,12,3415,374.0,42.0,4488.0
notebook with pen holder,25,3685,354.0,49.0,8850.0
college ruled notebook,23,3900,575.0,43.0,13225.0
vintage notebook,17,4924,320.0,20.0,5440.0
notebook with pockets,22,2236,436.0,30.0,9592.0
graph paper notebook,21,3747,388.0,46.0,8148.0
college ruled notebook,23,4755,701.0,53.0,16123.0
graph paper notebook,21,4830,500.0,60.0,10500.0
plain paper,12,1004,110.0,12.0,1320.0
graph paper notebook,21,3278,339.0,41.0,7119.0
leather cover notebook,23,4272,266.0,26.0,6118.0
college ruled notebook,23,2908,429.0,32.0,9867.0
engineering notebook,21,2425,278.0,16.0,5838.0
spiral bound notebook,22,4220,731.0,42.0,16082.0
notebook with pockets,22,2607,508.0,36.0,11176.0
travelers notebook,19,4563,626.0,46.0,11894.0
spiral bound notebook,22,4059,703.0,41.0,15466.0
academic planner notebook,26,4297,364.0,32.0,9464.0
engineering notebook,21,3633,417.0,24.0,8757.0
notebook with pockets,22,4890,953.0,67.0,20966.0
dotted grid notebook,21,1168,85.0,12.0,1785.0
spiral bound notebook,22,3808,660.0,38.0,14520.0
waterproof notebook,20,1791,333.0,27.0,6660.0
college ruled notebook,23,1999,295.0,22.0,6785.0
large notebook,15,1151,110.0,8.0,1650.0
waterproof notebook,20,4063,754.0,61.0,15080.0
notebook with pen holder,25,3271,314.0,43.0,7850.0
kids notebook,14,1503,188.0,10.0,2632.0
recycled paper notebook,24,4808,631.0,49.0,15144.0
art sketchbook,15,2573,251.0,18.0,3765.0
softcover notebook,19,3091,256.0,27.0,4864.0
notebook with pen holder,25,3744,359.0,49.0,8975.0
kids notebook,14,1503,188.0,10.0,2632.0
personalized notebook,22,4312,696.0,88.0,15312.0
notebook with pen holder,25,3977,382.0,52.0,9550.0
softcover notebook,19,1842,153.0,16.0,2907.0
art sketchbook,15,1350,132.0,9.0,1980.0
spiral bound notebook,22,4793,830.0,48.0,18260.0
graph paper notebook,21,3070,318.0,38.0,6678.0
personalized notebook,22,2659,429.0,54.0,9438.0
dotted grid notebook,21,1597,117.0,17.0,2457.0
hardcover notebook,19,2066,217.0,29.0,4123.0
softcover notebook,19,3513,291.0,31.0,5529.0
personalized notebook,22,1039,168.0,21.0,3696.0
waterproof notebook,20,3350,622.0,50.0,12440.0
academic planner notebook,26,4752,403.0,36.0,10478.0
plain paper,12,1174,129.0,15.0,1548.0
large notebook,15,1998,192.0,14.0,2880.0
recycled paper notebook,24,4603,604.0,47.0,14496.0
dotted grid notebook,21,2484,181.0,26.0,3801.0
engineering notebook,21,3668,421.0,25.0,8841.0
notebook with pen holder,25,2216,213.0,29.0,5325.0
recycled paper notebook,24,3291,432.0,34.0,10368.0
college ruled notebook,23,1835,271.0,20.0,6233.0
large notebook,15,3327,319.0,23.0,4785.0
leather cover notebook,23,4811,299.0,29.0,6877.0
large notebook,15,2059,197.0,14.0,2955.0
softcover notebook,19,3604,299.0,32.0,5681.0
notebook with pockets,22,1897,370.0,26.0,8140.0
hardcover notebook,19,2563,269.0,36.0,5111.0
large notebook,15,4225,405.0,29.0,6075.0
personalized notebook,22,2046,330.0,42.0,7260.0
dotted grid notebook,21,3766,275.0,40.0,5775.0
personalized notebook,22,1931,312.0,39.0,6864.0
hardcover notebook,19,3138,329.0,44.0,6251.0
plain paper,12,3437,376.0,43.0,4512.0
art sketchbook,15,4430,432.0,31.0,6480.0
engineering notebook,21,3597,412.0,24.0,8652.0
personalized notebook,22,3978,642.0,81.0,14124.0
spiral bound notebook,22,2251,390.0,23.0,8580.0
softcover notebook,19,2225,185.0,20.0,3515.0
softcover notebook,19,2373,197.0,21.0,3743.0
kids notebook,14,4892,612.0,31.0,8568.0
plain paper,12,4837,530.0,60.0,6360.0
large notebook,15,2061,198.0,14.0,2970.0
engineering notebook,21,3780,433.0,25.0,9093.0
notebook with pockets,22,1499,292.0,20.0,6424.0
engineering notebook,21,2722,312.0,18.0,6552.0
kids notebook,14,4114,515.0,26.0,7210.0
engineering notebook,21,3918,449.0,26.0,9429.0
graph paper notebook,21,4697,486.0,58.0,10206.0
hardcover notebook,19,4843,508.0,68.0,9652.0
waterproof notebook,20,3564,662.0,54.0,13240.0
engineering notebook,21,3115,357.0,21.0,7497.0
hardcover notebook,19,2763,290.0,39.0,5510.0
waterproof notebook,20,3170,589.0,48.0,11780.0
leather cover notebook,23,2708,168.0,17.0,3864.0
graph paper notebook,21,1335,138.0,17.0,2898.0
notebook with pockets,22,2176,424.0,30.0,9328.0
travelers notebook,19,4021,552.0,41.0,10488.0
softcover notebook,19,1778,148.0,16.0,2812.0
personalized notebook,22,4740,765.0,97.0,16830.0
hardcover notebook,19,2185,229.0,31.0,4351.0
spiral bound notebook,22,4285,742.0,43.0,16324.0
art sketchbook,15,2933,286.0,20.0,4290.0
large notebook,15,4447,426.0,31.0,6390.0
notebook with pen holder,25,4991,479.0,66.0,11975.0
large notebook,15,2466,236.0,17.0,3540.0
notebook with pen holder,25,3470,333.0,46.0,8325.0
art sketchbook,15,2561,250.0,18.0,3750.0
recycled paper notebook,24,1938,254.0,20.0,6096.0
engineering notebook,21,1803,207.0,12.0,4347.0
notebook with pockets,22,4772,930.0,65.0,20460.0
notebook with pen holder,25,2935,282.0,39.0,7050.0
travelers notebook,19,1633,224.0,17.0,4256.0
leather cover notebook,23,2253,140.0,14.0,3220.0
academic planner notebook,26,2082,176.0,16.0,4576.0
leather cover notebook,23,3143,195.0,19.0,4485.0
academic planner notebook,26,2285,194.0,17.0,5044.0
graph paper notebook,21,1353,140.0,17.0,2940.0
leather cover notebook,23,4383,272.0,27.0,6256.0
dotted grid notebook,21,2159,158.0,23.0,3318.0
softcover notebook,19,2885,239.0,26.0,4541.0
plain paper,12,2818,309.0,35.0,3708.0
kids notebook,14,1966,246.0,12.0,3444.0
notebook with pen holder,25,3970,381.0,52.0,9525.0
college ruled notebook,23,3520,519.0,39.0,11937.0
travelers notebook,19,4703,646.0,48.0,12274.0
personalized notebook,22,3477,561.0,71.0,12342.0
personalized notebook,22,4022,649.0,82.0,14278.0
vintage notebook,17,3584,233.0,14.0,3961.0
academic planner notebook,26,4925,417.0,37.0,10842.0
notebook with pen holder,25,2169,208.0,29.0,5200.0
dotted grid notebook,21,2547,186.0,27.0,3906.0
vintage notebook,17,3134,203.0,13.0,3451.0
hardcover notebook,19,1108,116.0,16.0,2204.0
plain paper,12,4494,492.0,56.0,5904.0
engineering notebook,21,2368,272.0,16.0,5712.0
personalized notebook,22,4337,700.0,88.0,15400.0
kids notebook,14,2757,345.0,17.0,4830.0
notebook with pen holder,25,4657,447.0,61.0,11175.0
leather cover notebook,23,1993,124.0,12.0,2852.0
hardcover notebook,19,2517,264.0,35.0,5016.0
kids notebook,14,2356,295.0,15.0,4130.0
kids notebook,14,1821,228.0,12.0,3192.0
recycled paper notebook,24,4484,589.0,46.0,14136.0
recycled paper notebook,24,4685,615.0,48.0,14760.0
hardcover notebook,19,1936,203.0,27.0,3857.0
notebook with pockets,22,4052,790.0,55.0,17380.0
graph paper notebook,21,3696,382.0,46.0,8022.0
large notebook,15,1190,114.0,8.0,1710.0
academic planner notebook,26,2996,254.0,23.0,6604.0
softcover notebook,19,1932,160.0,17.0,3040.0
notebook with pen holder,25,1141,109.0,15.0,2725.0
hardcover notebook,19,2892,303.0,41.0,5757.0
notebook with pockets,22,4144,808.0,56.0,17776.0
notebook with pockets,22,3887,758.0,53.0,16676.0
academic planner notebook,26,4238,359.0,32.0,9334.0
notebook with pockets,22,3215,627.0,44.0,13794.0
graph paper notebook,21,1565,162.0,19.0,3402.0
notebook with pockets,22,2282,445.0,31.0,9790.0
softcover notebook,19,2462,204.0,22.0,3876.0
waterproof notebook,20,2134,396.0,32.0,7920.0
academic planner notebook,26,1743,148.0,13.0,3848.0
graph paper notebook,21,1672,173.0,21.0,3633.0
large notebook,15,3911,375.0,27.0,5625.0
waterproof notebook,20,3886,721.0,58.0,14420.0
waterproof notebook,20,1530,284.0,23.0,5680.0
hardcover notebook,19,2313,242.0,33.0,4598.0
notebook with pen holder,25,4021,386.0,53.0,9650.0
hardcover notebook,19,1561,164.0,22.0,3116.0
academic planner notebook,26,2533,215.0,19.0,5590.0
notebook with pockets,22,3222,628.0,44.0,13816.0
large notebook,15,1301,125.0,9.0,1875.0
graph paper notebook,21,4767,493.0,59.0,10353.0
leather cover notebook,23,1184,74.0,7.0,1702.0
notebook with pockets,22,4410,860.0,60.0,18920.0
plain paper,12,1509,165.0,19.0,1980.0
hardcover notebook,19,3866,405.0,54.0,7695.0
leather cover notebook,23,2333,145.0,14.0,3335.0
engineering notebook,21,4578,525.0,31.0,11025.0
graph paper notebook,21,2369,245.0,29.0,5145.0
graph paper notebook,21,4152,430.0,51.0,9030.0
art sketchbook,15,4445,433.0,31.0,6495.0
art sketchbook,15,3203,312.0,22.0,4680.0
spiral bound notebook,22,3834,664.0,38.0,14608.0
notebook with pockets,22,1794,350.0,24.0,7700.0
waterproof notebook,20,3479,646.0,52.0,12920.0
waterproof notebook,20,2523,468.0,38.0,9360.0
academic planner notebook,26,1760,149.0,13.0,3874.0
vintage notebook,17,3194,207.0,13.0,3519.0
personalized notebook,22,3528,569.0,72.0,12518.0
hardcover notebook,19,1434,150.0,20.0,2850.0
college ruled notebook,23,2542,375.0,28.0,8625.0
travelers notebook,19,4740,651.0,48.0,12369.0
hardcover notebook,19,3038,318.0,43.0,6042.0
personalized notebook,22,2706,437.0,55.0,9614.0
large notebook,15,1068,102.0,7.0,1530.0
notebook with pockets,22,2629,513.0,36.0,11286.0
large notebook,15,2904,278.0,20.0,4170.0
college ruled notebook,23,3922,579.0,43.0,13317.0
engineering notebook,21,4959,569.0,33.0,11949.0
spiral bound notebook,22,3233,560.0,32.0,12320.0
large notebook,15,3951,379.0,27.0,5685.0
softcover notebook,19,3729,309.0,33.0,5871.0
personalized notebook,22,3251,525.0,66.0,11550.0
notebook with pen holder,25,1553,149.0,20.0,3725.0
notebook with pockets,22,3060,597.0,42.0,13134.0
vintage notebook,17,3713,241.0,15.0,4097.0
travelers notebook,19,2297,315.0,23.0,5985.0
art sketchbook,15,4369,426.0,30.0,6390.0
kids notebook,14,3098,388.0,20.0,5432.0
large notebook,15,1499,144.0,10.0,2160.0
spiral bound notebook,22,3416,592.0,34.0,13024.0
academic planner notebook,26,3771,320.0,28.0,8320.0
graph paper notebook,21,4727,489.0,58.0,10269.0
waterproof notebook,20,3404,632.0,51.0,12640.0
leather cover notebook,23,4074,253.0,25.0,5819.0
softcover notebook,19,4325,359.0,38.0,6821.0
hardcover notebook,19,4546,476.0,64.0,9044.0
hardcover notebook,19,3894,408.0,55.0,7752.0
spiral bound notebook,22,2529,438.0,25.0,9636.0
notebook with pen holder,25,3303,317.0,43.0,7925.0
softcover notebook,19,4681,388.0,42.0,7372.0
softcover notebook,19,4756,395.0,42.0,7505.0
spiral bound notebook,22,4221,731.0,42.0,16082.0
academic planner notebook,26,2511,213.0,19.0,5538.0
academic planner notebook,26,1278,108.0,10.0,2808.0
plain paper,12,2082,228.0,26.0,2736.0
large notebook,15,1445,139.0,10.0,2085.0
notebook with pen holder,25,3160,303.0,42.0,7575.0
hardcover notebook,19,1835,192.0,26.0,3648.0
travelers notebook,19,1754,241.0,18.0,4579.0
dotted grid notebook,21,2845,208.0,30.0,4368.0
vintage notebook,17,2592,168.0,10.0,2856.0
academic planner notebook,26,2512,213.0,19.0,5538.0
plain paper,12,2430,266.0,30.0,3192.0
notebook with pen holder,25,3414,328.0,45.0,8200.0
vintage notebook,17,2083,135.0,8.0,2295.0
personalized notebook,22,3376,545.0,69.0,11990.0
college ruled notebook,23,3775,557.0,42.0,12811.0
vintage notebook,17,4540,295.0,18.0,5015.0
recycled paper notebook,24,4816,632.0,49.0,15168.0
softcover notebook,19,4053,336.0,36.0,6384.0
large notebook,15,2590,248.0,18.0,3720.0
recycled paper notebook,24,2908,382.0,30.0,9168.0
graph paper notebook,21,3767,390.0,47.0,8190.0
art sketchbook,15,4134,403.0,29.0,6045.0
art sketchbook,15,3231,315.0,22.0,4725.0
leather cover notebook,23,2022,126.0,12.0,2898.0
vintage notebook,17,3358,218.0,13.0,3706.0
plain paper,12,4864,533.0,60.0,6396.0
travelers notebook,19,2561,352.0,26.0,6688.0
academic planner notebook,26,1176,100.0,9.0,2600.0
leather cover notebook,23,4646,289.0,29.0,6647.0
graph paper notebook,21,4500,466.0,56.0,9786.0
waterproof notebook,20,4144,769.0,62.0,15380.0
personalized notebook,22,1846,298.0,38.0,6556.0
spiral bound notebook,22,4238,734.0,42.0,16148.0
graph paper notebook,21,2248,233.0,28.0,4893.0
recycled paper notebook,24,2600,341.0,27.0,8184.0
art sketchbook,15,2604,254.0,18.0,3810.0
hardcover notebook,19,2975,312.0,42.0,5928.0
notebook with pen holder,25,3056,293.0,40.0,7325.0
dotted grid notebook,21,1235,90.0,13.0,1890.0
leather cover notebook,23,1709,106.0,10.0,2438.0
recycled paper notebook,24,3971,521.0,41.0,12504.0
engineering notebook,21,3732,428.0,25.0,8988.0
graph paper notebook,21,1793,186.0,22.0,3906.0
softcover notebook,19,4099,340.0,36.0,6460.0
large notebook,15,3855,370.0,27.0,5550.0
recycled paper notebook,24,2934,385.0,30.0,9240.0
travelers notebook,19,2669,366.0,27.0,6954.0
travelers notebook,19,1026,141.0,10.0,2679.0
notebook with pockets,22,3597,701.0,49.0,15422.0
spiral bound notebook,22,4267,739.0,43.0,16258.0
spiral bound notebook,22,2226,386.0,22.0,8492.0
notebook with pockets,22,1084,211.0,15.0,4642.0
dotted grid notebook,21,2855,208.0,30.0,4368.0
college ruled notebook,23,4101,605.0,45.0,13915.0
leather cover notebook,23,3513,218.0,22.0,5014.0
graph paper notebook,21,2122,220.0,26.0,4620.0
large notebook,15,4970,476.0,34.0,7140.0
kids notebook,14,2213,277.0,14.0,3878.0
engineering notebook,21,1011,116.0,7.0,2436.0
softcover notebook,19,4674,388.0,42.0,7372.0
travelers notebook,19,2012,276.0,20.0,5244.0
academic planner notebook,26,4101,348.0,31.0,9048.0
recycled paper notebook,24,2748,361.0,28.0,8664.0
large notebook,15,4109,394.0,28.0,5910.0
dotted grid notebook,21,2876,210.0,30.0,4410.0
personalized notebook,22,3619,584.0,74.0,12848.0
waterproof notebook,20,2317,430.0,35.0,8600.0
kids notebook,14,2383,298.0,15.0,4172.0
art sketchbook,15,2678,261.0,19.0,3915.0
notebook with pockets,22,3961,772.0,54.0,16984.0
dotted grid notebook,21,1179,86.0,12.0,1806.0
dotted grid notebook,21,1796,131.0,19.0,2751.0
recycled paper notebook,24,4183,549.0,43.0,13176.0
college ruled notebook,23,4813,710.0,53.0,16330.0
hardcover notebook,19,2467,259.0,35.0,4921.0
leather cover notebook,23,4092,254.0,25.0,5842.0
hardcover notebook,19,4216,442.0,59.0,8398.0
engineering notebook,21,3024,347.0,20.0,7287.0
plain paper,12,4570,501.0,57.0,6012.0
academic planner notebook,26,4217,357.0,32.0,9282.0
softcover notebook,19,3488,289.0,31.0,5491.0
hardcover notebook,19,1886,198.0,27.0,3762.0
recycled paper notebook,24,3468,455.0,35.0,10920.0
waterproof notebook,20,4387,814.0,66.0,16280.0
recycled paper notebook,24,2189,287.0,22.0,6888.0
waterproof notebook,20,2675,497.0,40.0,9940.0
dotted grid notebook,21,4274,312.0,45.0,6552.0
waterproof notebook,20,2519,468.0,38.0,9360.0
large notebook,15,4827,463.0,33.0,6945.0
engineering notebook,21,4696,538.0,31.0,11298.0
softcover notebook,19,3515,292.0,31.0,5548.0
plain paper,12,3760,412.0,47.0,4944.0
recycled paper notebook,24,3432,451.0,35.0,10824.0
large notebook,15,3361,322.0,23.0,4830.0
travelers notebook,19,1770,243.0,18.0,4617.0
travelers notebook,19,2278,313.0,23.0,5947.0
academic planner notebook,26,1958,166.0,15.0,4316.0
vintage notebook,17,1916,124.0,8.0,2108.0
notebook with pockets,22,3070,598.0,42.0,13156.0
plain paper,12,4976,545.0,62.0,6540.0
personalized notebook,22,2781,449.0,57.0,9878.0
recycled paper notebook,24,1338,176.0,14.0,4224.0
art sketchbook,15,2516,245.0,17.0,3675.0
travelers notebook,19,3870,531.0,39.0,10089.0
softcover notebook,19,4582,380.0,41.0,7220.0
notebook with pockets,22,3413,665.0,46.0,14630.0
college ruled notebook,23,2395,353.0,26.0,8119.0
art sketchbook,15,1914,187.0,13.0,2805.0
large notebook,15,2853,273.0,20.0,4095.0
softcover notebook,19,4670,387.0,41.0,7353.0
graph paper notebook,21,4290,444.0,53.0,9324.0
personalized notebook,22,1474,238.0,30.0,5236.0
travelers notebook,19,2446,336.0,25.0,6384.0
hardcover notebook,19,2379,249.0,33.0,4731.0
hardcover notebook,19,2483,260.0,35.0,4940.0
softcover notebook,19,4574,379.0,41.0,7201.0
recycled paper notebook,24,3074,404.0,31.0,9696.0
personalized notebook,22,3989,644.0,81.0,14168.0
academic planner notebook,26,3849,326.0,29.0,8476.0
spiral bound notebook,22,1800,312.0,18.0,6864.0
vintage notebook,17,3907,254.0,16.0,4318.0
plain paper,12,2246,246.0,28.0,2952.0
hardcover notebook,19,1863,195.0,26.0,3705.0
notebook with pen holder,25,3737,359.0,49.0,8975.0
vintage notebook,17,2171,141.0,9.0,2397.0
hardcover notebook,19,4495,471.0,63.0,8949.0
waterproof notebook,20,1738,323.0,26.0,6460.0
notebook with pen holder,25,2374,228.0,31.0,5700.0
personalized notebook,22,4257,687.0,87.0,15114.0
academic planner notebook,26,3462,293.0,26.0,7618.0
travelers notebook,19,4877,669.0,49.0,12711.0
notebook with pockets,22,1981,386.0,27.0,8492.0
notebook with pockets,22,3476,678.0,47.0,14916.0
spiral bound notebook,22,3088,535.0,31.0,11770.0
notebook with pen holder,25,3952,379.0,52.0,9475.0
leather cover notebook,23,2011,125.0,12.0,2875.0
softcover notebook,19,4464,370.0,40.0,7030.0
spiral bound notebook,22,3750,650.0,38.0,14300.0
hardcover notebook,19,3126,328.0,44.0,6232.0
personalized notebook,22,1716,277.0,35.0,6094.0
leather cover notebook,23,4967,309.0,30.0,7107.0
softcover notebook,19,4861,403.0,43.0,7657.0
waterproof notebook,20,2807,521.0,42.0,10420.0
recycled paper notebook,24,3591,471.0,37.0,11304.0
vintage notebook,17,2473,161.0,10.0,2737.0
academic planner notebook,26,3521,298.0,26.0,7748.0
engineering notebook,21,2165,248.0,15.0,5208.0
leather cover notebook,23,4322,269.0,27.0,6187.0
large notebook,15,3341,320.0,23.0,4800.0
hardcover notebook,19,1609,169.0,23.0,3211.0
spiral bound notebook,22,3183,551.0,32.0,12122.0
hardcover notebook,19,3531,370.0,50.0,7030.0
waterproof notebook,20,2812,522.0,42.0,10440.0
engineering notebook,21,2335,268.0,16.0,5628.0
college ruled notebook,23,3861,570.0,43.0,13110.0
academic planner notebook,26,1554,132.0,12.0,3432.0
recycled paper notebook,24,2655,349.0,27.0,8376.0
leather cover notebook,23,2755,171.0,17.0,3933.0
engineering notebook,21,1045,120.0,7.0,2520.0
engineering notebook,21,2259,259.0,15.0,5439.0
graph paper notebook,21,2071,214.0,26.0,4494.0
spiral bound notebook,22,3245,562.0,33.0,12364.0
plain paper,12,3131,343.0,39.0,4116.0
softcover notebook,19,1542,128.0,14.0,2432.0
art sketchbook,15,4232,413.0,29.0,6195.0
leather cover notebook,23,2451,152.0,15.0,3496.0
spiral bound notebook,22,3118,540.0,31.0,11880.0
academic planner notebook,26,3567,302.0,27.0,7852.0
college ruled notebook,23,2992,441.0,33.0,10143.0
plain paper,12,3945,432.0,49.0,5184.0
academic planner notebook,26,1912,162.0,14.0,4212.0
travelers notebook,19,4123,566.0,42.0,10754.0
spiral bound notebook,22,2068,358.0,21.0,7876.0
engineering notebook,21,3340,383.0,22.0,8043.0
engineering notebook,21,3985,457.0,27.0,9597.0
hardcover notebook,19,1811,190.0,26.0,3610.0
spiral bound notebook,22,2488,431.0,25.0,9482.0
dotted grid notebook,21,2908,212.0,31.0,4452.0
vintage notebook,17,2573,167.0,10.0,2839.0
college ruled notebook,23,1866,275.0,21.0,6325.0
college ruled notebook,23,3427,506.0,38.0,11638.0
graph paper notebook,21,4054,419.0,50.0,8799.0
graph paper notebook,21,2766,286.0,34.0,6006.0
engineering notebook,21,4549,522.0,31.0,10962.0
hardcover notebook,19,3309,347.0,47.0,6593.0
hardcover notebook,19,1579,165.0,22.0,3135.0
engineering notebook,21,4250,487.0,29.0,10227.0
